image,path,label
"[[[135 163 150]
  [135 163 150]
  [136 164 151]
  ...
  [166 161 160]
  [168 163 162]
  [169 164 163]]

 [[133 161 148]
  [133 161 148]
  [132 160 147]
  ...
  [168 163 162]
  [170 165 164]
  [172 167 166]]

 [[134 160 147]
  [133 159 146]
  [130 156 143]
  ...
  [171 166 165]
  [173 168 167]
  [175 170 169]]

 ...

 [[ 79  77  76]
  [ 76  74  73]
  [ 74  72  71]
  ...
  [161 153 160]
  [161 153 160]
  [162 154 161]]

 [[ 78  74  73]
  [ 75  71  70]
  [ 72  68  67]
  ...
  [166 158 165]
  [166 158 165]
  [166 158 165]]

 [[ 78  74  73]
  [ 75  71  70]
  [ 73  69  68]
  ...
  [161 153 160]
  [160 152 159]
  [160 152 159]]]",C:\Users\User\PycharmProjects\detectionAndSegmentation\475_file_train\images\train/000127.jpg,0
"[[[228 218 211]
  [229 219 212]
  [230 220 213]
  ...
  [240 229 225]
  [240 229 225]
  [240 229 225]]

 [[227 217 210]
  [228 218 211]
  [229 219 212]
  ...
  [240 229 225]
  [240 229 225]
  [240 229 225]]

 [[226 216 209]
  [226 216 209]
  [227 217 210]
  ...
  [240 229 225]
  [240 229 225]
  [240 229 225]]

 ...

 [[ 25  54  63]
  [ 25  54  63]
  [ 31  58  68]
  ...
  [171 175 180]
  [171 175 180]
  [169 173 178]]

 [[ 42  69  79]
  [ 40  67  77]
  [ 40  67  77]
  ...
  [170 174 179]
  [170 174 179]
  [170 174 179]]

 [[ 42  69  79]
  [ 42  69  79]
  [ 45  72  82]
  ...
  [168 172 177]
  [169 173 178]
  [169 173 178]]]",C:\Users\User\PycharmProjects\detectionAndSegmentation\475_file_train\images\train/000130.jpg,1
"[[[17 17 23]
  [17 17 23]
  [19 17 23]
  ...
  [ 9 13 18]
  [ 9 12 20]
  [ 9 12 20]]

 [[16 16 22]
  [16 16 22]
  [18 16 22]
  ...
  [ 9 13 18]
  [ 9 12 20]
  [ 9 12 20]]

 [[14 15 19]
  [14 15 19]
  [15 16 20]
  ...
  [ 9 13 18]
  [ 9 12 20]
  [ 9 12 20]]

 ...

 [[27 32 31]
  [25 30 29]
  [22 27 26]
  ...
  [20 20 20]
  [20 20 20]
  [20 20 20]]

 [[17 22 21]
  [22 27 26]
  [23 28 27]
  ...
  [19 19 19]
  [18 18 18]
  [17 17 17]]

 [[17 22 21]
  [22 27 26]
  [23 28 27]
  ...
  [19 19 19]
  [18 18 18]
  [17 17 17]]]",C:\Users\User\PycharmProjects\detectionAndSegmentation\475_file_train\images\train/000134.jpg,0
"[[[251 249 255]
  [253 251 255]
  [237 235 241]
  ...
  [247 254 249]
  [247 254 249]
  [247 254 249]]

 [[252 250 255]
  [249 247 253]
  [233 231 237]
  ...
  [247 254 249]
  [247 254 249]
  [247 254 249]]

 [[253 251 255]
  [247 245 251]
  [234 233 237]
  ...
  [247 254 249]
  [247 254 249]
  [247 254 249]]

 ...

 [[ 91 105 111]
  [ 72  89  92]
  [ 95 109 115]
  ...
  [ 61  88  84]
  [ 63  90  86]
  [ 67  94  90]]

 [[ 89 105 111]
  [ 68  84  90]
  [ 80  96 102]
  ...
  [ 56  83  79]
  [ 62  89  85]
  [ 69  96  92]]

 [[ 82  98 104]
  [ 65  81  87]
  [ 78  94 100]
  ...
  [ 54  81  77]
  [ 63  90  86]
  [ 72  99  95]]]",C:\Users\User\PycharmProjects\detectionAndSegmentation\475_file_train\images\train/000138.jpg,1
"[[[37 32 29]
  [31 26 23]
  [26 21 18]
  ...
  [24 22 21]
  [24 22 21]
  [24 22 21]]

 [[29 24 21]
  [31 26 23]
  [33 28 25]
  ...
  [24 22 21]
  [24 22 21]
  [24 22 21]]

 [[26 21 18]
  [31 26 23]
  [36 31 28]
  ...
  [24 22 21]
  [24 22 21]
  [24 22 21]]

 ...

 [[49 39 39]
  [49 39 39]
  [49 39 39]
  ...
  [51 43 43]
  [50 42 42]
  [49 41 41]]

 [[49 39 39]
  [49 39 39]
  [49 39 39]
  ...
  [52 44 44]
  [52 44 44]
  [52 44 44]]

 [[49 39 39]
  [49 39 39]
  [49 39 39]
  ...
  [52 42 42]
  [54 44 44]
  [55 45 45]]]",C:\Users\User\PycharmProjects\detectionAndSegmentation\475_file_train\images\train/000143.jpg,1
"[[[226 224 223]
  [226 224 223]
  [226 224 223]
  ...
  [232 228 227]
  [232 228 227]
  [232 228 227]]

 [[226 224 223]
  [226 224 223]
  [226 224 223]
  ...
  [232 228 227]
  [232 228 227]
  [232 228 227]]

 [[226 224 223]
  [226 224 223]
  [226 224 223]
  ...
  [231 227 226]
  [231 227 226]
  [231 227 226]]

 ...

 [[ 66 110 123]
  [ 81 125 138]
  [ 61 109 121]
  ...
  [ 39  94  99]
  [ 50 102 108]
  [ 44  99 104]]

 [[ 68 109 124]
  [ 76 119 134]
  [ 83 131 143]
  ...
  [ 49 101 108]
  [ 50  99 107]
  [ 40  92  99]]

 [[ 68 109 124]
  [ 78 121 136]
  [ 86 136 148]
  ...
  [ 53 102 110]
  [ 52 101 109]
  [ 43  92 100]]]",C:\Users\User\PycharmProjects\detectionAndSegmentation\475_file_train\images\train/000157.jpg,1
"[[[21 25 53]
  [22 26 54]
  [22 26 54]
  ...
  [17 19 67]
  [21 18 64]
  [23 18 63]]

 [[21 25 53]
  [22 26 54]
  [22 26 54]
  ...
  [17 19 67]
  [21 18 64]
  [24 19 64]]

 [[19 26 53]
  [20 27 54]
  [21 28 55]
  ...
  [14 18 66]
  [21 19 65]
  [24 21 66]]

 ...

 [[13 13 13]
  [14 14 14]
  [14 14 14]
  ...
  [14 14 14]
  [14 14 14]
  [14 14 14]]

 [[15 15 15]
  [16 16 16]
  [16 16 16]
  ...
  [14 14 14]
  [14 14 14]
  [15 15 15]]

 [[15 15 15]
  [16 16 16]
  [16 16 16]
  ...
  [14 14 14]
  [14 14 14]
  [15 15 15]]]",C:\Users\User\PycharmProjects\detectionAndSegmentation\475_file_train\images\train/000161.jpg,1
"[[[22  7  4]
  [22  7  4]
  [22  7  4]
  ...
  [ 6  4  4]
  [ 3  3  3]
  [ 3  3  3]]

 [[22  7  4]
  [22  7  4]
  [22  7  4]
  ...
  [ 6  4  4]
  [ 3  3  3]
  [ 3  3  3]]

 [[22  7  4]
  [22  7  4]
  [22  7  4]
  ...
  [ 7  5  5]
  [ 4  4  4]
  [ 4  4  4]]

 ...

 [[ 0  8 12]
  [ 0  8 12]
  [ 0  8 12]
  ...
  [ 3  3  3]
  [ 3  3  3]
  [ 3  3  3]]

 [[ 0  8 12]
  [ 0  8 12]
  [ 0  8 12]
  ...
  [ 3  3  3]
  [ 3  3  3]
  [ 3  3  3]]

 [[ 0  8 12]
  [ 0  8 12]
  [ 0  8 12]
  ...
  [ 3  3  3]
  [ 3  3  3]
  [ 3  3  3]]]",C:\Users\User\PycharmProjects\detectionAndSegmentation\475_file_train\images\train/000171.jpg,0
"[[[157 158 156]
  [254 255 253]
  [255 253 252]
  ...
  [ 77  93  86]
  [ 76  92  85]
  [ 75  91  84]]

 [[157 158 156]
  [254 255 253]
  [255 253 252]
  ...
  [ 73  89  82]
  [ 73  89  82]
  [ 73  89  82]]

 [[159 157 156]
  [255 254 253]
  [255 253 252]
  ...
  [ 66  84  77]
  [ 68  86  79]
  [ 69  87  80]]

 ...

 [[123 120 116]
  [ 21  18  14]
  [ 21  18  14]
  ...
  [ 33  36  27]
  [ 29  32  23]
  [ 26  29  20]]

 [[122 119 115]
  [ 21  18  14]
  [ 21  18  14]
  ...
  [ 34  37  28]
  [ 30  33  24]
  [ 26  29  20]]

 [[122 119 115]
  [ 24  21  17]
  [ 23  20  16]
  ...
  [ 36  38  32]
  [ 32  34  28]
  [ 29  31  25]]]",C:\Users\User\PycharmProjects\detectionAndSegmentation\475_file_train\images\train/000172.jpg,1
"[[[119 119 119]
  [119 119 119]
  [120 120 120]
  ...
  [ 34  29  38]
  [ 30  25  34]
  [ 31  26  35]]

 [[121 121 121]
  [121 121 121]
  [122 122 122]
  ...
  [ 25  20  29]
  [ 23  18  27]
  [ 23  18  27]]

 [[124 124 124]
  [124 124 124]
  [124 124 124]
  ...
  [ 51  48  57]
  [ 52  49  58]
  [ 51  48  57]]

 ...

 [[ 13   8   9]
  [ 13   8   9]
  [ 13   8   9]
  ...
  [ 49  92 101]
  [ 49  92 101]
  [ 49  92 101]]

 [[ 13   8   9]
  [ 13   8   9]
  [ 13   8   9]
  ...
  [ 50  93 102]
  [ 50  93 102]
  [ 50  93 102]]

 [[ 13   8   9]
  [ 13   8   9]
  [ 13   8   9]
  ...
  [ 51  97 105]
  [ 51  97 105]
  [ 51  97 105]]]",C:\Users\User\PycharmProjects\detectionAndSegmentation\475_file_train\images\train/000188.jpg,1
"[[[ 78  81  85]
  [ 77  80  84]
  [ 76  79  83]
  ...
  [187 181 176]
  [187 181 176]
  [188 182 177]]

 [[ 77  80  84]
  [ 76  79  83]
  [ 76  79  83]
  ...
  [187 181 176]
  [187 181 176]
  [187 181 176]]

 [[ 76  79  83]
  [ 76  79  83]
  [ 76  79  83]
  ...
  [186 180 175]
  [187 181 176]
  [187 181 176]]

 ...

 [[ 66  75  85]
  [ 79  88  98]
  [ 75  84  94]
  ...
  [166 165 175]
  [156 155 165]
  [145 144 154]]

 [[ 60  69  79]
  [ 48  57  67]
  [ 61  70  80]
  ...
  [167 166 176]
  [152 151 161]
  [138 137 147]]

 [[ 37  46  56]
  [ 46  55  65]
  [ 80  89  99]
  ...
  [166 165 175]
  [148 147 157]
  [133 132 142]]]",C:\Users\User\PycharmProjects\detectionAndSegmentation\475_file_train\images\train/000193.jpg,1
"[[[136 127 130]
  [121 112 115]
  [174 166 167]
  ...
  [ 43  41  41]
  [ 42  40  40]
  [ 41  39  39]]

 [[ 72  63  66]
  [132 123 126]
  [159 151 152]
  ...
  [ 40  38  38]
  [ 39  37  37]
  [ 38  36  36]]

 [[ 71  63  64]
  [106  98  99]
  [ 93  85  86]
  ...
  [ 37  35  35]
  [ 36  34  34]
  [ 36  34  34]]

 ...

 [[114 147 156]
  [116 149 158]
  [122 154 165]
  ...
  [ 25  19  24]
  [ 25  19  24]
  [ 25  19  24]]

 [[108 141 150]
  [109 142 151]
  [114 146 157]
  ...
  [ 25  19  24]
  [ 25  19  24]
  [ 25  19  24]]

 [[103 139 147]
  [102 138 146]
  [106 141 151]
  ...
  [ 25  19  24]
  [ 25  19  24]
  [ 25  19  24]]]",C:\Users\User\PycharmProjects\detectionAndSegmentation\475_file_train\images\train/000194.jpg,1
"[[[ 58  54  36]
  [ 77  73  55]
  [ 97  92  77]
  ...
  [ 97  31  20]
  [ 84  18   7]
  [ 77  11   0]]

 [[ 63  59  41]
  [ 83  79  61]
  [106 101  86]
  ...
  [108  39  24]
  [ 93  24   9]
  [ 85  16   1]]

 [[ 99  92  77]
  [106  99  84]
  [109 102  87]
  ...
  [123  50  30]
  [106  33  13]
  [ 96  23   3]]

 ...

 [[205 218 220]
  [203 216 218]
  [201 213 217]
  ...
  [159 149 142]
  [151 141 134]
  [144 134 127]]

 [[205 218 220]
  [200 213 215]
  [200 212 216]
  ...
  [164 154 147]
  [157 147 140]
  [150 140 133]]

 [[201 217 216]
  [195 210 212]
  [195 210 213]
  ...
  [173 164 155]
  [167 158 149]
  [162 153 144]]]",C:\Users\User\PycharmProjects\detectionAndSegmentation\475_file_train\images\train/000199.jpg,1
"[[[181 213 226]
  [181 213 226]
  [181 213 226]
  ...
  [190 235 246]
  [192 237 248]
  [189 235 246]]

 [[179 211 224]
  [179 211 224]
  [179 211 224]
  ...
  [191 236 247]
  [194 239 250]
  [191 237 248]]

 [[177 209 222]
  [177 209 222]
  [178 210 223]
  ...
  [191 236 247]
  [193 238 249]
  [189 235 246]]

 ...

 [[ 55  72  98]
  [ 36  53  79]
  [ 58  76 105]
  ...
  [107 131 159]
  [113 137 165]
  [117 141 169]]

 [[ 51  66  92]
  [ 30  47  73]
  [ 50  68  97]
  ...
  [119 143 171]
  [123 147 175]
  [130 154 182]]

 [[ 48  63  89]
  [ 29  46  72]
  [ 49  67  96]
  ...
  [112 136 164]
  [106 130 158]
  [106 130 158]]]",C:\Users\User\PycharmProjects\detectionAndSegmentation\475_file_train\images\train/000208.jpg,0
"[[[249 232 245]
  [248 231 244]
  [247 230 243]
  ...
  [208 190 179]
  [109  90  82]
  [ 34  17   8]]

 [[249 232 245]
  [248 231 244]
  [247 230 243]
  ...
  [208 190 179]
  [109  92  83]
  [ 35  18   9]]

 [[249 232 245]
  [248 231 244]
  [247 230 243]
  ...
  [209 190 182]
  [110  92  85]
  [ 34  18  11]]

 ...

 [[120  75  38]
  [120  75  38]
  [120  75  38]
  ...
  [ 29  19  12]
  [ 24  13   9]
  [ 21  11   4]]

 [[116  75  43]
  [116  75  43]
  [116  75  43]
  ...
  [ 31  20  12]
  [ 29  15   9]
  [ 25  14   6]]

 [[114  75  47]
  [114  75  47]
  [114  75  47]
  ...
  [ 40  28  18]
  [ 36  20  13]
  [ 30  18   8]]]",C:\Users\User\PycharmProjects\detectionAndSegmentation\475_file_train\images\train/000209.jpg,1
"[[[174 168 179]
  [171 165 176]
  [167 161 172]
  ...
  [103  88  62]
  [ 83  68  42]
  [ 72  57  31]]

 [[177 171 182]
  [175 169 180]
  [171 165 176]
  ...
  [ 90  75  49]
  [ 73  58  32]
  [ 64  49  23]]

 [[182 176 187]
  [180 174 185]
  [176 170 181]
  ...
  [ 78  63  37]
  [ 65  50  24]
  [ 58  43  17]]

 ...

 [[ 95  81  92]
  [ 93  79  90]
  [ 92  79  87]
  ...
  [ 14  14   8]
  [ 13  13   7]
  [ 12  12   6]]

 [[ 96  82  93]
  [ 94  80  91]
  [ 94  81  89]
  ...
  [ 14  14   8]
  [ 14  14   8]
  [ 13  13   7]]

 [[ 91  77  88]
  [ 92  78  89]
  [ 91  78  86]
  ...
  [ 15  15   9]
  [ 14  14   8]
  [ 14  14   8]]]",C:\Users\User\PycharmProjects\detectionAndSegmentation\475_file_train\images\train/000212.jpg,1
"[[[226 218 218]
  [226 218 218]
  [227 219 219]
  ...
  [144 143 152]
  [144 143 152]
  [143 142 151]]

 [[228 220 220]
  [228 220 220]
  [228 220 220]
  ...
  [145 144 153]
  [145 144 153]
  [145 144 153]]

 [[229 221 221]
  [229 221 221]
  [230 222 222]
  ...
  [146 145 154]
  [146 145 154]
  [146 145 154]]

 ...

 [[111 122 136]
  [123 134 148]
  [124 135 149]
  ...
  [ 96 112 129]
  [ 88 104 121]
  [ 83  99 116]]

 [[115 126 140]
  [127 138 152]
  [128 139 153]
  ...
  [104 120 137]
  [101 117 133]
  [ 98 114 130]]

 [[116 127 141]
  [125 136 150]
  [125 136 150]
  ...
  [107 123 140]
  [104 120 136]
  [102 118 134]]]",C:\Users\User\PycharmProjects\detectionAndSegmentation\475_file_train\images\train/000233.jpg,1
"[[[255 255 251]
  [254 253 249]
  [252 251 247]
  ...
  [139 127 115]
  [140 128 116]
  [141 129 117]]

 [[255 255 251]
  [254 253 249]
  [252 251 247]
  ...
  [140 128 116]
  [141 129 117]
  [142 130 118]]

 [[255 255 251]
  [254 253 249]
  [252 251 247]
  ...
  [141 129 117]
  [142 130 118]
  [143 131 119]]

 ...

 [[ 35  53 112]
  [ 41  60 117]
  [ 46  65 122]
  ...
  [ 65  81 123]
  [ 55  71 113]
  [ 31  47  89]]

 [[ 41  60 121]
  [ 47  66 127]
  [ 44  63 124]
  ...
  [101 118 161]
  [ 77  95 136]
  [ 46  64 105]]

 [[ 41  62 124]
  [ 50  71 133]
  [ 49  68 129]
  ...
  [105 124 167]
  [100 117 160]
  [ 83 101 142]]]",C:\Users\User\PycharmProjects\detectionAndSegmentation\475_file_train\images\train/000234.jpg,1
"[[[ 3  8  7]
  [ 2  7  6]
  [ 1  6  5]
  ...
  [47 16  7]
  [61 22 14]
  [66 23 14]]

 [[ 6 11 10]
  [ 5 10  9]
  [ 4  9  8]
  ...
  [47 15  9]
  [61 22 14]
  [66 23 14]]

 [[ 8 13 12]
  [ 7 12 11]
  [ 6 11 10]
  ...
  [47 15  9]
  [61 22 14]
  [65 21 14]]

 ...

 [[26 25 27]
  [19 18 20]
  [16 15 17]
  ...
  [19 17 17]
  [19 17 17]
  [18 16 16]]

 [[26 26 26]
  [19 19 19]
  [17 17 17]
  ...
  [19 17 17]
  [19 17 17]
  [19 17 17]]

 [[26 26 26]
  [20 20 20]
  [18 18 18]
  ...
  [19 17 17]
  [19 17 17]
  [19 17 17]]]",C:\Users\User\PycharmProjects\detectionAndSegmentation\475_file_train\images\train/000235.jpg,0
"[[[ 26  14  14]
  [ 26  14  14]
  [ 28  16  16]
  ...
  [ 15 105 122]
  [ 12 104 121]
  [ 12 104 121]]

 [[ 29  17  17]
  [ 29  17  17]
  [ 29  17  17]
  ...
  [ 15 105 122]
  [ 11 103 120]
  [ 10 102 119]]

 [[ 31  19  19]
  [ 30  18  18]
  [ 28  16  16]
  ...
  [ 15 105 122]
  [ 11 103 120]
  [ 10 102 119]]

 ...

 [[ 66 197 246]
  [ 60 188 237]
  [ 69 190 240]
  ...
  [ 12  26  44]
  [  4  11  28]
  [ 14  17  31]]

 [[ 61 207 255]
  [ 60 201 250]
  [ 61 194 244]
  ...
  [  8  23  39]
  [  0   5  20]
  [ 10  12  23]]

 [[ 43 195 242]
  [ 41 189 236]
  [ 49 188 237]
  ...
  [  5  20  36]
  [ 16  22  35]
  [ 38  40  51]]]",C:\Users\User\PycharmProjects\detectionAndSegmentation\475_file_train\images\train/000236.jpg,1
"[[[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [154 166 176]
  [154 166 176]
  [150 162 172]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [153 165 175]
  [151 163 173]
  [146 158 168]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [153 165 175]
  [152 164 174]
  [147 159 169]]

 ...

 [[  0  49  18]
  [  0  48  15]
  [  0  68  31]
  ...
  [137 145 152]
  [124 132 139]
  [132 140 147]]

 [[ 54 171 126]
  [ 61 181 133]
  [ 85 210 160]
  ...
  [115 123 130]
  [115 123 130]
  [115 123 130]]

 [[105 246 195]
  [104 248 195]
  [106 255 199]
  ...
  [131 139 146]
  [134 142 149]
  [118 126 133]]]",C:\Users\User\PycharmProjects\detectionAndSegmentation\475_file_train\images\train/000237.jpg,1
